#id,best-individual
0,24
1,23
2,24
3,23
4,22
5,22
6,22
7,23
8,24
9,25
10,26
11,25
12,24
13,25
14,24
15,25
16,24
17,23
18,23
19,22
20,22
21,23
22,23
23,22
24,21
25,20
26,19
27,20
28,21
29,22
30,23
31,22
32,23
33,22
34,23
35,24
36,25
37,24
38,23
39,22
40,22
41,23
42,24
43,25
44,24
45,25
46,26
47,27
48,28
49,27
50,26
51,27
52,28
53,27
54,26
55,25
56,26
57,27
58,28
59,29
60,30
61,31
62,30
63,29
64,28
65,29
66,30
67,31
68,30
69,29
70,28
71,27
72,27
73,27
74,26
75,25
76,24
77,25
78,24
79,23
80,24
81,25
82,24
83,25
84,26
85,27
86,28
87,29
88,28
89,27
90,26
91,25
92,24
93,23
94,22
95,23
96,24
97,25
98,26
99,27
100,26
101,27
102,28
103,27
104,27
105,26
106,25
107,26
108,25
109,26
110,25
111,26
112,25
113,24
114,25
115,26
116,25
117,26
118,27
119,28
120,29
121,30
122,31
123,32
124,33
125,34
126,33
127,32
128,33
129,34
130,33
131,32
132,31
133,32
134,33
135,32
136,31
137,32
138,31
139,30
140,31
141,30
142,31
143,32
144,31
145,32
146,31
147,32
148,32
149,31
150,32
151,33
152,34
153,33
154,32
155,31
156,32
157,33
158,32
159,31
160,30
161,29
162,28
163,29
164,30
165,31
166,32
167,31
168,30
169,29
170,30
171,31
172,30
173,31
174,32
175,31
176,30
177,31
178,32
179,33
180,34
181,33
182,34
183,35
184,34
185,33
186,32
187,31
188,30
189,29
190,28
191,27
192,28
193,27
194,28
195,27
196,28
197,27
198,27
199,26
200,27
201,26
202,27
203,26
204,27
205,28
206,29
207,30
208,31
209,32
210,33
211,32
212,33
213,32
214,33
215,32
216,33
217,34
218,35
219,36
220,35
221,36
222,35
223,36
224,37
225,38
226,37
227,36
228,35
229,36
230,35
231,36
232,37
233,36
234,35
235,36
236,35
237,34
238,35
239,34
240,35
241,36
242,35
243,36
244,37
245,36
246,35
247,34
248,33
249,34
250,35
251,36
252,35
253,36
254,37
255,36
256,35
257,34
258,33
259,34
260,33
261,32
262,31
263,30
264,31
265,32
266,31
267,32
268,33
269,34
270,34
271,33
272,32
273,31
274,30
275,29
276,28
277,27
278,26
279,27
280,28
281,29
282,30
283,29
284,30
285,31
286,30
287,29
288,30
289,29
290,28
291,27
292,28
293,29
294,30
295,31
296,32
297,33
298,32
299,33
300,32
301,33
302,32
303,31
304,30
305,31
306,32
307,33
308,34
309,35
310,36
311,35
312,34
313,33
314,32
315,33
316,32
317,31
318,30
319,31
320,30
321,31
322,30
323,29
324,28
325,29
326,30
327,29
328,30
329,31
330,32
331,31
332,30
333,29
334,30
335,31
336,32
337,31
338,32
339,31
340,30
341,29
342,28
343,29
344,30
345,29
346,30
347,29
348,28
349,27
350,26
351,25
352,26
353,25
354,24
355,24
356,23
357,22
358,22
359,21
360,21
361,22
362,21
363,22
364,21
365,22
366,23
367,24
368,24
369,25
370,26
371,27
372,28
373,27
374,26
375,25
376,26
377,27
378,26
379,25
380,24
381,25
382,24
383,24
384,25
385,24
386,25
387,26
388,27
389,26
390,27
391,26
392,27
393,26
394,27
395,27
396,28
397,27
398,28
399,27
400,28
