#id,best-individual
0,30
1,31
2,32
3,31
4,32
5,31
6,32
7,31
8,30
9,29
10,30
11,29
12,28
13,29
14,28
15,29
16,28
17,27
18,28
19,27
20,26
21,27
22,28
23,29
24,28
25,27
26,26
27,27
28,26
29,25
30,26
31,25
32,26
33,25
34,26
35,27
36,28
37,27
38,28
39,27
40,28
41,27
42,28
43,27
44,28
45,29
46,30
47,31
48,30
49,31
50,30
51,31
52,30
53,31
54,32
55,33
56,34
57,35
58,34
59,33
60,32
61,33
62,32
63,33
64,34
65,35
66,34
67,33
68,32
69,31
70,30
71,29
72,30
73,31
74,30
75,29
76,30
77,31
78,30
79,29
80,28
81,27
82,26
83,25
84,26
85,25
86,24
87,23
88,24
89,25
90,24
91,23
92,24
93,25
94,26
95,27
96,28
97,27
98,26
99,27
100,26
101,25
102,24
103,25
104,24
105,25
106,26
107,25
108,26
109,26
110,25
111,26
112,27
113,28
114,27
115,26
116,27
117,28
118,27
119,28
120,29
121,28
122,29
123,28
124,29
125,28
126,29
127,28
128,27
129,26
130,25
131,26
132,27
133,26
134,25
135,24
136,23
137,24
138,23
139,22
140,21
141,22
142,23
143,23
144,22
145,21
146,22
147,23
148,23
149,22
150,21
151,22
152,21
153,22
154,21
155,20
156,19
157,20
158,21
159,22
160,23
161,22
162,21
163,22
164,23
165,22
166,23
167,24
168,25
169,24
170,23
171,23
172,24
173,25
174,24
175,23
176,22
177,23
178,24
179,23
180,24
181,23
182,24
183,25
184,26
185,25
186,26
187,27
188,27
189,28
190,29
191,29
192,30
193,29
194,30
195,31
196,30
197,29
198,30
199,31
200,30
201,31
202,30
203,29
204,28
205,27
206,28
207,27
208,26
209,27
210,28
211,29
212,30
213,31
214,32
215,33
216,32
217,33
218,32
219,31
220,32
221,33
222,32
223,31
224,30
225,29
226,30
227,29
228,30
229,29
230,30
231,29
232,28
233,27
234,28
235,28
236,29
237,29
238,28
239,27
240,26
241,27
242,28
243,29
244,30
245,30
246,29
247,30
248,31
249,32
250,31
251,32
252,33
253,32
254,31
255,32
256,33
257,32
258,33
259,32
260,32
261,31
262,30
263,29
264,28
265,29
266,28
267,27
268,26
269,27
270,27
271,28
272,27
273,28
274,27
275,26
276,27
